Segment,0,1,2,3,4,5,6,0,1,2,3,4,5,6
Sample_Size,309,6843,3334,689,851,2225,339,309,6843,3334,689,851,2225,339
B_Dist,-0.09488421,-0.066480857,-0.172368115,-0.07558357,-0.054158692,-0.101993778,-0.07472846,-0.083541559,-0.064333422,-0.16831258,-0.073110112,-0.052822185,-0.074599451,-0.061595271
B_Dist_p,3.66E-14,0,0,0,2.54E-12,0,6.29E-09,0,0,0,0,8.63E-13,0,4.75E-07
ASC_SG,1.774762334,2.293065626,1.907680206,2.714164908,4.965900617,4.32770907,4.073648937,10.89546073,10.57882711,10.57882711,10.57882711,9.591376166,9.591376166,9.591376166
ASC_SC,-0.28893925,1.455207524,0.958442239,1.244199239,1.404073986,2.000088877,-0.820868834,9.373394158,9.349667437,9.349667437,9.349667437,5.624017506,5.624017506,5.624017506
ASC_MI,-0.255494921,1.143742588,0.575328257,0.807755853,1.322870964,2.02294818,-0.994045006,9.495444123,9.449908302,9.449908302,9.449908302,6.385194399,6.385194399,6.385194399
ASC_YK,1.267303243,2.157679795,1.96631709,2.277623621,3.708380066,3.742675406,3.450530032,10.62480908,10.52578299,10.52578299,10.52578299,8.263590433,8.263590433,8.263590433
ASC_YG,0,0,0,0,0,0,0,7.80710329,7.758760544,7.758760544,7.758760544,4.762173935,4.762173935,4.762173935
ASC_RY,2.629827882,2.308600474,1.059996618,1.876379741,3.268096615,2.058531853,2.262403905,10.24565781,10.16692816,10.16692816,10.16692816,7.665284718,7.665284718,7.665284718
ASC_OC,-1.799089834,0.182230473,-0.220532399,0.638424002,0.985580047,0.312637187,1.336890069,8.158229917,8.107418812,8.107418812,8.107418812,5.159055299,5.159055299,5.159055299
Log_Lhood,-357.7319975,-10774.05646,-3536.680217,-1004.77591,-875.7985548,-1951.655523,-347.1942672,-457.1963078,-10935.88688,-3635.125289,-1027.55484,-881.398158,-2057.516915,-374.4681213
Akaike,729.463995,21562.11293,7087.360435,2023.551819,1765.59711,3917.311046,708.3885344,916.3926157,21873.77376,7272.250577,2057.109679,1764.796316,4117.03383,750.9362427
Bayesian,755.5973839,21609.9298,7130.143931,2055.298508,1798.821994,3957.263631,735.1705351,920.125957,21880.60475,7278.362505,2061.64492,1769.542728,4122.741343,754.7622428
